age,metric,group
young,11309.036915739305,treatment_before
young,8496.554679072815,control_before
young,11891.862585733219,control_before
young,9229.445010567684,treatment_before
young,10410.961279114628,control_before
young,9273.151242950258,treatment_before
young,11408.008047968455,control_before
young,9180.738281424905,control_before
young,9677.273837530316,treatment_before
young,10319.888496399926,control_before
young,11078.79052431718,control_before
young,9271.37401469236,treatment_before
young,8834.386522915938,control_before
young,10325.953225488614,treatment_before
young,10493.601669893804,control_before
young,10437.392244448276,treatment_before
young,13122.533282537595,treatment_before
young,8467.22807079592,treatment_before
young,8484.388021800663,treatment_before
young,9759.165132156693,treatment_before
young,10029.16701638679,treatment_before
young,10741.95626084686,control_before
young,10894.465155792903,control_before
young,9540.160651977161,treatment_before
young,8977.288444358752,control_before
young,9367.81502195993,control_before
young,12930.521453917483,control_before
young,9656.233515198972,treatment_before
young,10008.803018681478,treatment_before
young,9658.323566213741,control_before
young,9989.398843367184,treatment_before
young,11588.7456440592,control_before
young,9225.064069431894,control_before
young,10106.586222221731,treatment_before
young,10986.296088783809,control_before
young,9695.497743359758,control_before
young,9541.0226740739,control_before
young,11535.8248676457,treatment_before
young,12141.626854968634,control_before
young,10236.338468008147,control_before
young,8177.029294340518,control_before
young,9604.556853084632,treatment_before
young,11375.643607317772,control_before
young,10766.292170587669,treatment_before
young,9645.42917708235,control_before
young,10205.229846558226,control_before
young,10683.197466232721,treatment_before
young,11441.720081566004,treatment_before
young,9886.662404214003,treatment_before
young,9951.827427579405,control_before
young,10663.45363742082,control_before
young,10012.729969476073,control_before
young,10496.935606765463,control_before
young,9859.236942384872,treatment_before
young,11393.211792442755,treatment_before
young,9358.67364545671,treatment_before
young,10422.758132612675,treatment_before
young,10953.969071541695,control_before
young,9273.30794100506,treatment_before
young,11453.294547949416,control_before
young,10673.551065789039,control_before
young,10173.645666685297,treatment_before
young,10862.61158011508,control_before
young,10049.64522960242,control_before
young,9493.81211975277,treatment_before
young,8702.722011582779,control_before
young,10849.865332533125,control_before
young,10479.726871300722,treatment_before
young,10001.576952221641,treatment_before
young,12074.222239193445,control_before
young,7650.99891358853,treatment_before
young,9438.531985061261,treatment_before
young,11021.38236283632,treatment_before
young,10301.989127406965,control_before
young,11790.566188754816,treatment_before
young,9504.11307282064,treatment_before
young,11767.521545817166,treatment_before
young,9297.410186837502,control_before
young,10033.815420913334,treatment_before
young,10392.827892269335,treatment_before
young,12148.310495646374,control_before
young,10044.73358835683,control_before
young,11019.486862267871,control_before
young,9251.06369263948,treatment_before
young,10126.205559779772,treatment_before
young,9005.786893555338,treatment_before
young,10760.572744561438,control_before
young,9784.036743190576,control_before
young,11399.444233244909,treatment_before
young,10942.354960645194,control_before
young,11936.169865673131,treatment_before
young,9271.927835953587,treatment_before
young,9075.837057977016,treatment_before
young,10534.469687665125,control_before
young,9886.781140925414,treatment_before
young,10718.934794950277,control_before
young,10061.232295380883,treatment_before
young,9334.544369616378,treatment_before
young,9163.286545269078,treatment_before
young,10302.156979276893,treatment_before
young,10692.344284211062,treatment_before
young,10090.164970832708,control_before
young,9725.957192233369,treatment_before
young,9491.419205418315,treatment_before
young,11194.769107421831,control_before
young,10144.967746462771,treatment_before
young,8893.096625676888,control_before
young,9681.39601230231,treatment_before
young,11547.625812195503,control_before
young,9992.857204620623,treatment_before
young,9476.307926585125,control_before
young,10335.395989221377,treatment_before
young,10636.126072814062,control_before
young,9699.709802358468,treatment_before
young,11392.722431788517,control_before
young,12412.602988644538,control_before
young,8811.960547364839,control_before
young,10571.816082186067,treatment_before
young,9571.911485380204,treatment_before
young,8771.85120375745,treatment_before
young,9341.645558297248,control_before
young,11561.683047464803,treatment_before
young,10846.140020176392,treatment_before
young,12406.325885632716,treatment_before
young,10235.758410202881,treatment_before
young,12846.486240141536,treatment_before
young,10975.580420040786,treatment_before
young,11048.411586444587,treatment_before
young,10153.425017401007,treatment_before
young,10413.480827814434,control_before
young,8440.078263397085,control_before
young,8601.261257709342,control_before
young,10567.272551326765,treatment_before
young,9684.906813084028,control_before
young,9826.823885293796,treatment_before
young,9336.251709259068,treatment_before
young,9883.556255897305,treatment_before
young,8916.452852950311,control_before
