,user_id,group,visit_id,visit_duration
0,JP1F82,first,ypn3ydiml32oelnslnjv,84.0
1,JP1F82,first,ypy93q2g8ypdtwbpv8b5,61.0
2,JP1F82,first,d8m6q0bmr40wgi6zuor3,81.0
3,JP1F82,first,5b72re4nr84fszqx7f6e,54.0
4,0Y2HSZ,first,z40pmuyaczi92gmlqz6t,97.0
5,0Y2HSZ,first,tl4bvj9u2qicxwai8pkl,96.0
6,0Y2HSZ,first,szafbqai6nn60w3sm3wl,62.0
7,0Y2HSZ,first,mmt3je4p5c92xftq70iy,74.0
8,0Y2HSZ,first,hijeqwxsm11oswdg1l74,77.0
9,0Y2HSZ,first,corjc1hfyb4jshjwl48z,89.0
10,UDGMRD,first,3s4ktckd97kcx65r3u69,102.0
11,UDGMRD,first,nmn97ic3gvdnq969r5ov,116.0
12,UDGMRD,first,thiurnil71bcq94ybq0f,101.0
13,UDGMRD,first,t4aucaavjox1vg4kz6sj,108.0
14,UXIZZ5,first,x21ruf0yxjgpdqzaiuu7,70.0
15,UXIZZ5,first,332u3n3waj7d5eevgg84,70.0
16,UXIZZ5,first,vz3uwkhptr2sq1u1ht8x,84.0
17,UXIZZ5,first,1pc4x430kp3dmanbz163,49.0
18,UXIZZ5,first,812hdge8u1mjkm5f2kq6,74.0
19,UXIZZ5,first,q1hwg129umccxqzxi3ac,73.0
20,UXIZZ5,first,obnwpehhg72so0626z17,62.0
21,KT4GAN,first,kknr3aa8qswvswnfyksd,112.0
22,KT4GAN,first,d0lc8230fnjx2pndfw9t,83.0
23,KT4GAN,first,2htnnhm686n8edp8bnpt,88.0
24,KT4GAN,first,7zugzji8ceclktjuy8ju,100.0
25,KT4GAN,first,aznx9whd4s9s873q9d9f,101.0
26,KT4GAN,first,w56udg3mj5a529rmtzuo,112.0
27,KT4GAN,first,hcez1yg4lx44tqrmy053,114.0
28,KT4GAN,first,b064bu9evwr1y35ox5yd,73.0
29,5NEHFA,first,0tocl3vt17rr1ewzhl7g,73.0
30,5NEHFA,first,s0hju7l6tj0sxnhqyt2v,72.0
31,5NEHFA,first,ixr8uwz870j03r9tir8n,104.0
32,5NEHFA,first,d6ihfj89ryvwmxdh2db8,91.0
33,5NEHFA,first,nb2kqe6w8nvlxom4d98e,74.0
34,5NEHFA,first,n5epmpdes2cf8hpogdge,55.0
35,HOULXE,first,8c1j8vkyo0t3cbinf75l,119.0
36,HOULXE,first,zhe6jc3uaer7o7xfx540,113.0
37,HOULXE,first,chxfk80wjntb7igqbjz8,124.0
38,HOULXE,first,x7fi4p7tu2kg80rbtmwi,102.0
39,HOULXE,first,9fzlttw47w4tlbnwxv2t,110.0
40,HOULXE,first,i98s1bt4qsaoi35eo0wn,85.0
41,HOULXE,first,an1kjv3psd1ag18gyduv,95.0
42,KUX4AQ,first,5tat7300pzn4epyp48az,132.0
43,KUX4AQ,first,0cjo5zjlx16q54zww0ur,127.0
44,KUX4AQ,first,x1fmtp8vh4t6zyu9c70y,122.0
45,KUX4AQ,first,sloulyxflcaudpgnfv0g,119.0
46,KUX4AQ,first,bc8eivbuo7yqeu781ft5,111.0
47,KUX4AQ,first,cxeo2rtgosocihi02f6c,127.0
48,USDMSM,first,r8nbgpjkul6zgwr13yl7,103.0
49,USDMSM,first,e91pp2yx3c27pqmf0xfq,99.0
50,USDMSM,first,7jri6v2c99mcn31fpsha,88.0
51,USDMSM,first,wua87l03c5szunc6qmce,102.0
52,USDMSM,first,svnyt96a6rbse8qm0700,101.0
53,USDMSM,first,18w8fq0peswe6qhkchun,101.0
54,GZTZVL,first,8k68rit9jruwhm2b77su,131.0
55,GZTZVL,first,jufzsauvinh664axa0pl,127.0
