,user_id,visit_id,visit_duration
0,66U21N,2e9jn4qdjoot4vo9xn5g,76.0
1,MQE6TJ,v54g9sa6g6gcn6f7e3kk,97.0
2,X4A2B6,zmz8g1utfal68e1ctz8g,117.0
3,HFYD47,e8zvlx05icmrcn75ny5u,49.0
4,8C8XIX,886rt54buvgrtgah1i1f,83.0
5,OBTRWY,tlw7e1k13dnc5pmrllue,112.0
6,5XGW07,cclgpq6w7tykheysyo67,83.0
7,EEOUVJ,3pnzpm0scx27jchrdnwc,147.0
8,HB4QAW,gxdjdmoj2bkscas2l6ty,104.0
9,901OPS,7m54p38b0p6vg41irnkc,88.0
10,HNPNA4,w4u4zkj31su32f66nn2x,84.0
11,2YD51V,ex67gzf4mnbo6h0ibp5x,93.0
12,GIDMQA,2sme8cnq4y9iragcpjdk,106.0
13,4GVTD3,8a1owy2t6y3tijt27ioj,79.0
14,WS9SUH,iqnh54lqdqyq2xp9neui,90.0
15,L3DVGG,7lutujfrr367kf6d0he6,101.0
16,X9OEZ2,u0owg2ozv8xeej1wbu0u,99.0
17,F2GGKZ,48tcfepyka02r45bj305,88.0
18,T7H0CW,be5ej9nhi89ao90xsorj,109.0
19,3SCFDJ,yaaj2gu8m01q0cye0vha,128.0
20,AWJJMO,i2mood46f9crl79ehb1r,94.0
21,IA54Z8,tw88nxr2s52vkiexslvk,80.0
22,4TMWBV,mrvu1kdgdp9u8lz8qcb8,113.0
23,0N037Z,4u9lpohynrsjnugbis8o,92.0
24,66ESVH,g273rou62gk4phe1oor7,109.0
25,6N2A37,9gs8xqqpauzicj80cn6m,72.0
26,BJDECP,ry8hsqwj7f7ea88ltacb,146.0
27,9DAGL2,pr7qfrm51m62d8hgfrx6,99.0
28,KKU81M,wvees3drxvj8k3kolwfp,89.0
29,HNJCE4,kubegqo3ivfds9j76v98,110.0
30,YMGJMW,qxuhnuve37l3flad0iu0,112.0
31,3LA4XC,tkp8sqmr271s0ky69omq,105.0
32,4TMWBV,e6dj5coznfna233i2mcd,117.0
33,2GUGR2,1ujrf1isy1tjrhkjys20,123.0
34,I9RGTL,a84gqfsmf6n8l9h7qva4,110.0
35,YWV1WO,n6vzb8clg8w1gjxp767b,72.0
36,AGOKXF,rnhqx8ic4qr34qs9asi5,113.0
37,HNPNA4,fb65y194our9lnnq1oo5,95.0
38,LIGOV5,pqasr3pk04xtlumwujp7,147.0
39,4KSL08,8cvreakisx77bj45nw1l,134.0
40,VRRNPM,k35eblpwx0e72kg9bozp,156.0
41,H3BDHL,q6wmsj91mnxotee1xzdb,74.0
42,HPG3OT,i891o2p2rbh174h297fq,99.0
43,MF5BEV,e0xwmy19yux8p4henqlx,92.0
44,8LT8WI,rmk1l2gk8lqgh8eqifly,82.0
45,9H19DY,oxc57306kv7rzoy6stnz,92.0
46,ESL4CZ,cu44pwzgr04nmtcal40f,90.0
47,ACOUFL,gigh3hy3ycdlls6wokuh,124.0
48,38O42L,62k68of45patxsschvte,103.0
49,8MR8Z2,9fpeq2p13969veq9ry3n,79.0
